storecode,storename,cityName,districtName,address,starttime,endtime,lat,lng
,肯德基(峰峰美食林店),邯郸,峰峰矿区,美食林峰峰滏临北大街店西门旁,,,36.42579,114.211861
,肯德基(武安永丰餐厅),邯郸,武安市,建设大街与向阳路口西南角永丰祥苑转角12-03商铺,,,36.703112,114.169911
,肯德基(邯郸临漳澳林店),邯郸,临漳县,澳林城市之窗东出入口北120米,,,36.326148,114.599009
,肯德基(榆阳街店),邯郸,邱县,107乡道与榆阳街交叉口西南260米,,,36.818031,115.280024
,肯德基(魏都北大街店),邯郸,魏县,魏都北大街50号,,,36.361729,114.93621
,肯德基(宣和时代广场店),邯郸,大名县,宣和时代广场西南出入口东南60米,,,36.289987,115.130675
,肯德基(邯郸涉县铜锣湾店),邯郸,涉县,龙山大街铜锣湾广场1层,,,36.578405,113.683633
,肯德基甜品站(美乐城负一店),邯郸,丛台区,人民东路456号美乐城中国邯郸环球中心店B1层,,,36.607757,114.5234
,肯德基甜品站(新世纪中心店),邯郸,丛台区,中华北大街29号新世纪中心B1层,,,36.610725,114.494475
,肯德基门业,邯郸,永年区,001乡道西南侧,,,36.870524,114.579668
,肯德基门窗,邯郸,成安县,邯郸仁和医院南门西70米,,,36.44447,114.663462
,鼎盛断桥肯德基门窗,邯郸,临漳县,南东坊镇政府西100米路北,,,36.349097,114.52077
,断桥铝肯德基门,邯郸,峰峰矿区,滏北路与鼓山中街交叉口东南80米,,,36.433274,114.210894
,肯德基断桥铝门窗,邯郸,临漳县,魏峰线与中心街交叉口西80米,,,36.34879,114.520778
,断桥铝塑钢肯德基门,邯郸,丛台区,五里铺小学东门南50米,,,36.63778,114.483183
,肯德基(唐百店),唐山,路北区,新华东道125号百货大楼一楼,,,39.626161,118.178651
,肯德基(八方店),唐山,路北区,北新西道20号八方购物广场F1层,,,39.6332,118.16255
,肯德基(新华贸店),唐山,路南区,新华贸一层,,,39.625294,118.170891
,肯德基(唐山万达店),唐山,路南区,新华东道120号万达百货2层2066-2069,,,39.624853,118.186542
,肯德基(翔云店),唐山,路北区,大润发一层,,,39.644994,118.172656
,肯德基(渤海店),唐山,路南区,宝升昌广场一层,,,39.624995,118.147121
,肯德基(龙泽店),唐山,路北区,龙泽北路240号龙泽购物广场(裕华道店),,,39.664269,118.186885
,肯德基(远洋店),唐山,路北区,建设北路128号远洋城一层,,,39.667299,118.176777
,肯德基(南湖店),唐山,路南区,南湖购物广场一层,,,39.612235,118.141449
,肯德基(公园壹号店),唐山,路北区,缸窑路西侧西窑道南侧碧桂园公园壹号二标段S2号商业街1层101-102-126-1号,,,39.662718,118.207984
,肯德基(凤城国际店),唐山,路北区,北新西道与友谊路交叉口凤城国际购物广场一层、二层,,,39.635199,118.142922
,肯德基(光明店),唐山,路南区,新华步行街3-14,,,39.62539,118.135321
,肯德基(唐山大学道店),唐山,路北区,恒大学庭北区309,,,39.675299,118.169186
,肯德基(华岩店),唐山,路北区,华岩北路小八方一层,,,39.662354,118.171811
,肯德基(唐山火车站店),唐山,路北区,站前路160号唐山站2层候车厅内,,,39.625714,118.119507
,肯德基(丰南店),唐山,丰南区,文化大街138号丰南商厦一层,,,39.562568,118.113972
,肯德基(丰南文化店),唐山,丰南区,文化大街109号丰南荣大购物广场B座西侧一层,,,39.563864,118.108759
,肯德基(唐山振华餐厅),唐山,路北区,新华道振华诚成购物中心一层,,,39.626037,118.152531
,肯德基(唐山荷花茗苑店),唐山,路南区,复兴路170号,,,39.618227,118.210143
